drug_1,drug_2,drug_3,diluent,classification,qualifiers,reference_ids
Hyoscine Butylbromide,Morphine HCl,,NaCl,7,,"2, 3"
Ketorolac,Morphine HCl,,NaCl,2,,2
Metoclopramide,Morphine HCl,,NaCl,6,,"2, 3, 4"
Midazolam,Morphine HCl,,NaCl,7,,"2, 3"
Clonazepam #,Morphine sulphate,,WFI,1,C,"1, 4"
Cyclizine,Morphine sulphate,,WFI,7,,"1, 2"
glycopyrronium bromide (glycopyrrolate),Morphine sulphate,,WFI,1,,1
Haloperidol ###,Morphine sulphate,,WFI,7,H,"1, 2"
Hyoscine Butylbromide,Morphine sulphate,,WFI,7,,"1, 2"
Ketamine,Morphine sulphate,,WFI,1,,1
Ketorolac,Morphine sulphate,,WFI,3,,1
Levetiracetam,Morphine sulphate,,WFI,1,,4
Levomepromazine,Morphine sulphate,,WFI,7,,"1, 2"
Metoclopramide,Morphine sulphate,,WFI,7,,"1, 2"
Midazolam,Morphine sulphate,,WFI,7,,"1, 2"
Octreotide,Morphine sulphate,,WFI,1,,"1, 4"
Ondansetron,Morphine sulphate,,WFI,1,,"2, 4"
Ranitidine,Morphine sulphate,,WFI,1,,4
Clonazepam #,Morphine sulphate,,NaCl,1,C,"1, 2"
glycopyrronium bromide (glycopyrrolate),Morphine sulphate,,NaCl,1,,4
Haloperidol ###,Morphine sulphate,,NaCl,1,H,"1, 2"
Hyoscine Butylbromide,Morphine sulphate,,NaCl,1,,1
Ketamine,Morphine sulphate,,NaCl,7,,"1, 2, 3"
Levetiracetam,Morphine sulphate,,NaCl,1,,4
Levomepromazine,Morphine sulphate,,NaCl,1,,"1, 2"
Metoclopramide,Morphine sulphate,,NaCl,7,,"1, 2, 3"
Midazolam,Morphine sulphate,,NaCl,7,,"1, 2, 3"
Octreotide,Morphine sulphate,,NaCl,1,,"1, 2"
Ondansetron,Morphine sulphate,,NaCl,7,,"1, 2, 3"
Ranitidine,Morphine sulphate,,NaCl,1,,4
Clonazepam #,Oxycodone ##,,WFI,6,C,"1, 2"
Cyclizine,Oxycodone ##,,WFI,2,,"1, 2"
glycopyrronium bromide (glycopyrrolate),Oxycodone ##,,WFI,7,,"1, 2"
Haloperidol ###,Oxycodone ##,,WFI,7,H,"1, 2"
Hyoscine Butylbromide,Oxycodone ##,,WFI,7,,"1, 2, 3"
Ketamine,Oxycodone ##,,WFI,7,,"2, 4"
Ketorolac,Oxycodone ##,,WFI,6,,2
Levetiracetam,Oxycodone ##,,WFI,1,,5
Levomepromazine,Oxycodone ##,,WFI,7,,"1, 2"
Metoclopramide,Oxycodone ##,,WFI,7,,"1, 2, 3"
Midazolam,Oxycodone ##,,WFI,7,,"1, 2"
Octreotide,Oxycodone ##,,WFI,6,,"1, 2"
Ondansetron,Oxycodone ##,,WFI,6,,2
Ranitidine,Oxycodone ##,,WFI,6,,2
Clonazepam #,Oxycodone ##,,NaCl,6,C,"1, 2"
glycopyrronium bromide (glycopyrrolate),Oxycodone ##,,NaCl,7,,"2, 4"
Haloperidol ###,Oxycodone ##,,NaCl,7,H,"1, 2, 3"
Hyoscine Butylbromide,Oxycodone ##,,NaCl,7,,"1, 2, 3"
Ketamine,Oxycodone ##,,NaCl,7,,"1, 2"
Ketorolac,Oxycodone ##,,NaCl,6,,"1, 2"
Levomepromazine,Oxycodone ##,,NaCl,7,,"1, 2"
Metoclopramide,Oxycodone ##,,NaCl,7,,"1, 2, 3"
Midazolam,Oxycodone ##,,NaCl,7,,"1, 2"
Octreotide,Oxycodone ##,,NaCl,6,,"1, 2"
Ondansetron,Oxycodone ##,,NaCl,6,,"1, 2"
Ranitidine,Oxycodone ##,,NaCl,6,,"2, 4"
Clonazepam #,Cyclizine,,WFI,1,C,1
Clonazepam #,glycopyrronium bromide (glycopyrrolate),,WFI,1,C,"1, 2"
Clonazepam #,Haloperidol ###,,WFI,1,"C, H","1, 2, 4"
Clonazepam #,Hyoscine Butylbromide,,WFI,1,C,"1, 2, 4"
Clonazepam #,Levomepromazine,,WFI,1,C,4
Clonazepam #,Metoclopramide,,WFI,1,C,"2, 4"
Clonazepam #,Midazolam,,WFI,1,C,1
Clonazepam #,Ondansetron,,WFI,1,C,2
Cyclizine,glycopyrronium bromide (glycopyrrolate),,WFI,1,,4
Cyclizine,Haloperidol ###,,WFI,1,H,"1, 2"
Cyclizine,Hyoscine Butylbromide,,WFI,3,,"1, 4"
Cyclizine,Ketorolac,,WFI,3,,"1, 2"
Cyclizine,Levomepromazine,,WFI,1,,4
Cyclizine,Metoclopramide,,WFI,2,,"2, 4"
Cyclizine,Midazolam,,WFI,1,,"1, 4"
Cyclizine,Octreotide,,WFI,1,,"1, 4"
Cyclizine,Ondansetron,,WFI,3,,4
Cyclizine,Ranitidine,,WFI,1,,4
glycopyrronium bromide (glycopyrrolate),Haloperidol ###,,WFI,1,H,1
glycopyrronium bromide (glycopyrrolate),Ketamine,,WFI,1,,1
glycopyrronium bromide (glycopyrrolate),Ketorolac,,WFI,3,,1
glycopyrronium bromide (glycopyrrolate),Levomepromazine,,WFI,1,,"1, 4"
glycopyrronium bromide (glycopyrrolate),Metoclopramide,,WFI,1,,"1, 4"
glycopyrronium bromide (glycopyrrolate),Midazolam,,WFI,1,,"1, 2, 4"
glycopyrronium bromide (glycopyrrolate),Octreotide,,WFI,1,,"1, 2, 4"
glycopyrronium bromide (glycopyrrolate),Ranitidine,,WFI,1,,2
Haloperidol ###,Hyoscine Butylbromide,,WFI,1,H,"1, 2"
Haloperidol ###,Ketamine,,WFI,1,H,"1, 4"
Haloperidol ###,Ketorolac,,WFI,3,H,1
Haloperidol ###,Midazolam,,WFI,1,H,"1, 4"
Haloperidol ###,Octreotide,,WFI,1,H,"1, 2, 4"
Haloperidol ###,Ondansetron,,WFI,1,H,4
Haloperidol ###,Ranitidine,,WFI,1,H,4
Hyoscine Butylbromide,Levetiracetam,,WFI,1,,4
Hyoscine Butylbromide,Levomepromazine,,WFI,1,,"1, 2, 4"
Hyoscine Butylbromide,Metoclopramide,,WFI,1,,4
Hyoscine Butylbromide,Midazolam,,WFI,1,,1
Hyoscine Butylbromide,Octreotide,,WFI,1,,"1, 4"
Hyoscine Butylbromide,Ondansetron,,WFI,1,,4
Hyoscine Butylbromide,Ranitidine,,WFI,1,,4
Ketamine,Levetiracetam,,WFI,1,,4
Ketamine,Levomepromazine,,WFI,1,,2
Ketamine,Metoclopramide,,WFI,1,,1
Ketamine,Midazolam,,WFI,1,,1
Ketorolac,Levomepromazine,,WFI,3,,1
Ketorolac,Metoclopramide,,WFI,1,,4
Ketorolac,Midazolam,,WFI,3,,1
Ketorolac,Ranitidine,,WFI,1,,4
Levetiracetam,Metoclopramide,,WFI,1,,6
Levetiracetam,Midazolam,,WFI,1,,4
Levomepromazine,Midazolam,,WFI,1,,"1, 2"
Levomepromazine,Octreotide,,WFI,1,,"1, 2, 4"
Levomepromazine,Ondansetron,,WFI,1,,4
Levomepromazine,Ranitidine,,WFI,2,,"2, 4"
Metoclopramide,Midazolam,,WFI,1,,"1, 2"
Metoclopramide,Octreotide,,WFI,1,,"1, 2"
Metoclopramide,Ondansetron,,WFI,1,,4
Metoclopramide,Ranitidine,,WFI,1,,4
Midazolam,Octreotide,,WFI,1,,"1, 4"
Midazolam,Ondansetron,,WFI,1,,4
Midazolam,Ranitidine,,WFI,3,,"3, 4"
Octreotide,Ondansetron,,WFI,1,,"1, 2"
Clonazepam #,glycopyrronium bromide (glycopyrrolate),,NaCl,1,C,"1, 4"
Clonazepam #,Haloperidol ###,,NaCl,1,"C, H","1, 2"
Clonazepam #,Hyoscine Butylbromide,,NaCl,1,C,"2, 4"
Clonazepam #,Ketamine,,NaCl,1,C,1
Clonazepam #,Ketorolac,,NaCl,1,C,4
Clonazepam #,Levomepromazine,,NaCl,1,C,"1, 2, 4"
Clonazepam #,Metoclopramide,,NaCl,1,C,"1, 2"
Clonazepam #,Midazolam,,NaCl,1,C,1
Clonazepam #,Octreotide,,NaCl,1,C,"1, 2, 4"
Clonazepam #,Ondansetron,,NaCl,1,C,4
glycopyrronium bromide (glycopyrrolate),Haloperidol ###,,NaCl,1,H,2
glycopyrronium bromide (glycopyrrolate),Hyoscine Butylbromide,,NaCl,1,,1
glycopyrronium bromide (glycopyrrolate),Ketamine,,NaCl,1,,4
glycopyrronium bromide (glycopyrrolate),Ketorolac,,NaCl,3,,"1, 2"
glycopyrronium bromide (glycopyrrolate),Levetiracetam,,NaCl,1,,4
glycopyrronium bromide (glycopyrrolate),Levomepromazine,,NaCl,1,,"1, 2"
glycopyrronium bromide (glycopyrrolate),Metoclopramide,,NaCl,1,,"2, 4"
glycopyrronium bromide (glycopyrrolate),Midazolam,,NaCl,1,,4
glycopyrronium bromide (glycopyrrolate),Octreotide,,NaCl,1,,"1, 2"
glycopyrronium bromide (glycopyrrolate),Ondansetron,,NaCl,7,,"1, 2"
Haloperidol ###,Hyoscine Butylbromide,,NaCl,2,H,"1, 2, 3"
Haloperidol ###,Ketamine,,NaCl,1,H,"1, 2"
Haloperidol ###,Ketorolac,,NaCl,2,H,"1, 3"
Haloperidol ###,Midazolam,,NaCl,7,H,"1, 2, 3, 4"
Haloperidol ###,Octreotide,,NaCl,1,H,"1, 4"
Haloperidol ###,Ondansetron,,NaCl,6,H,3
Haloperidol ###,Ranitidine,,NaCl,1,H,4
Hyoscine Butylbromide,Ketamine,,NaCl,1,,4
Hyoscine Butylbromide,Ketorolac,,NaCl,6,,3
Hyoscine Butylbromide,Levetiracetam,,NaCl,1,,4
Hyoscine Butylbromide,Levomepromazine,,NaCl,1,,"1, 2, 3"
Hyoscine Butylbromide,Metoclopramide,,NaCl,6,,"2, 3"
Hyoscine Butylbromide,Midazolam,,NaCl,7,,"1, 2"
Hyoscine Butylbromide,Octreotide,,NaCl,1,,1
Hyoscine Butylbromide,Ondansetron,,NaCl,1,,2
Hyoscine Butylbromide,Ranitidine,,NaCl,1,,4
Ketamine,Ketorolac,,NaCl,1,,4
Ketamine,Levomepromazine,,NaCl,1,,"1, 2, 4"
Ketamine,Metoclopramide,,NaCl,1,,4
Ketamine,Midazolam,,NaCl,6,,"1, 2, 3, 4"
Ketamine,Octreotide,,NaCl,1,,4
Ketorolac,Levomepromazine,,NaCl,3,,1
Ketorolac,Metoclopramide,,NaCl,2,,"2, 3"
Ketorolac,Midazolam,,NaCl,2,,1
Ketorolac,Octreotide,,NaCl,1,,1
Ketorolac,Ranitidine,,NaCl,1,,2
Levetiracetam,Levomepromazine,,NaCl,1,,4
Levetiracetam,Midazolam,,NaCl,1,,4
Levomepromazine,Midazolam,,NaCl,1,,"1, 2"
Levomepromazine,Octreotide,,NaCl,1,,4
Levomepromazine,Ondansetron,,NaCl,1,,"2, 4"
Levomepromazine,Ranitidine,,NaCl,2,,"2, 4"
Metoclopramide,Midazolam,,NaCl,6,,"1, 2"
Metoclopramide,Octreotide,,NaCl,1,,"2, 4"
Metoclopramide,Ondansetron,,NaCl,7,,"2, 4"
Metoclopramide,Ranitidine,,NaCl,7,,"3, 4"
Midazolam,Octreotide,,NaCl,1,,"1, 4"
Midazolam,Ondansetron,,NaCl,7,,"1, 2"
Midazolam,Ranitidine,,NaCl,3,,4
Octreotide,Ondansetron,,NaCl,1,,"1, 2"
Octreotide,Ranitidine,,NaCl,1,,4
Fentanyl,cyclizine,midazolam,WFI,2,,2
Fentanyl,glycopyrronium bromide (glycopyrrolate),midazolam,WFI,1,,4
Fentanyl,haloperidol ##,midazolam,WFI,1,H,4
Fentanyl,hyoscine butylbromide,levomepromazine,WFI,1,,4
Fentanyl,hyoscine butylbromide,midazolam,WFI,1,,4
Fentanyl,levomepromazine,midazolam,WFI,1,,4
Fentanyl,metoclopramide,ondansetron,WFI,1,,4
Fentanyl,metoclopramide,ranitidine,WFI,1,,4
Fentanyl,haloperidol ##,midazolam,NaCl,1,H,"2, 4"
hydromorphone,cyclizine,haloperidol ##,WFI,2,H,"2, 4"
hydromorphone,cyclizine,midazolam,WFI,2,,2
hydromorphone,cyclizine,octreotide,WFI,2,,"1, 2"
hydromorphone,haloperidol ##,ketamine,WFI,2,"H, S","1, 4"
hydromorphone,haloperidol ##,ketorolac,WFI,3,H,"1, 2"
hydromorphone,haloperidol ##,midazolam,WFI,2,H,"1, 4"
hydromorphone,levomepromazine,midazolam,WFI,1,S,"1, 4"
hydromorphone,levomepromazine,octreotide,WFI,1,,4
hydromorphone,metoclopramide,midazolam,WFI,1,,"1, 4"
hydromorphone,clonazepam #,haloperidol ##,NaCl,2,"C, H",4
hydromorphone,haloperidol ##,ketamine,NaCl,2,H,4
hydromorphone,haloperidol ##,ketorolac,NaCl,3,H,"1, 2"
hydromorphone,haloperidol ##,midazolam,NaCl,2,H,"1, 2, 4"
hydromorphone,haloperidol ##,ranitidine,NaCl,2,H,4
hydromorphone,hyoscine butylbromide,levomepromazine,NaCl,7,,"2, 4"
hydromorphone,hyoscine butylbromide,midazolam,NaCl,1,,4
hydromorphone,ketamine,levomepromazine,NaCl,1,,4
hydromorphone,ketamine,midazolam,NaCl,1,S,"1, 2, 4"
hydromorphone,ketorolac,metoclopramide,NaCl,1,,4
hydromorphone,levomepromazine,midazolam,NaCl,7,,"1, 2, 4"
hydromorphone,levomepromazine,ranitidine,NaCl,2,,4
hydromorphone,metoclopramide,midazolam,NaCl,7,,"1, 2, 4"
hydromorphone,metoclopramide,octreotide,NaCl,1,,4
hydromorphone,metoclopramide,ondansetron,NaCl,1,,4
hydromorphone,octreotide,ondansetron,NaCl,1,,4
methadone,clonazepam #,haloperidol ##,WFI,1,"C, H",4
methadone,clonazepam #,hyoscine butylbromide,WFI,1,C,4
methadone,clonazepam #,metoclopramide,WFI,2,C,4
methadone,haloperidol ##,ketamine,WFI,1,H,4
methadone,haloperidol ##,midazolam,WFI,1,H,4
methadone,hyoscine butylbromide,levomepromazine,WFI,1,,4
methadone,ketamine,midazolam,WFI,1,,4
methadone,levomepromazine,midazolam,WFI,2,,4
methadone,metoclopramide,midazolam,WFI,1,,4
methadone,metoclopramide,ranitidine,WFI,1,,4
methadone,clonazepam #,haloperidol ##,NaCl,1,"C, H",2
methadone,clonazepam #,levomepromazine,NaCl,1,C,4
methadone,glycopyrronium bromide (glycopyrrolate),midazolam,NaCl,1,,2
methadone,haloperidol ##,ketamine,NaCl,1,H,4
methadone,haloperidol ##,midazolam,NaCl,1,H,2
methadone,hyoscine butylbromide,ranitidine,NaCl,1,,4
methadone,levomepromazine,midazolam,NaCl,1,,4
methadone,octreotide,ranitidine,NaCl,1,,4
morphine hydrochloride,haloperidol,hyoscine butylbromide,NaCl,7,H,2
morphine hydrochloride,haloperidol,ketorolac,NaCl,2,H,3
morphine hydrochloride,haloperidol,midazolam,NaCl,6,H,2
morphine hydrochloride,hyoscine butylbromide,ketorolac,NaCl,2,,"2, 3"
morphine hydrochloride,hyoscine butylbromide,metoclopramide,NaCl,6,,"2, 3"
morphine hydrochloride,hyoscine butylbromide,midazolam,NaCl,2,,"2, 3"
morphine hydrochloride,ketorolac,metoclopramide,NaCl,2,,"2, 3"
morphine hydrochloride,levomepromazine,midazolam,NaCl,3,,3
morphine hydrochloride,metoclopramide,midazolam,NaCl,6,,2
morphine sulfate,clonazepam #,cyclizine,WFI,1,C,"1, 2"
morphine sulfate,clonazepam #,haloperidol ##,WFI,1,"C, H",4
morphine sulfate,clonazepam #,hyoscine butylbromide,WFI,1,C,4
morphine sulfate,clonazepam #,levomepromazine,WFI,1,C,2
morphine sulfate,clonazepam #,metoclopramide,WFI,1,C,4
morphine sulfate,cyclizine,glycopyrronium bromide (glycopyrrolate),WFI,1,,4
morphine sulfate,cyclizine,haloperidol ##,WFI,7,H,"1, 2, 4"
morphine sulfate,cyclizine,hyoscine butylbromide,WFI,3,,"1, 2, 4"
morphine sulfate,cyclizine,levomepromazine,WFI,1,,"2, 4"
morphine sulfate,cyclizine,midazolam,WFI,7,,"1, 2, 4"
morphine sulfate,cyclizine,octreotide,WFI,1,,4
morphine sulfate,cyclizine,ranitidine,WFI,2,,4
morphine sulfate,glycopyrronium bromide (glycopyrrolate),haloperidol ##,WFI,1,H,4
morphine sulfate,glycopyrronium bromide (glycopyrrolate),levomepromazine,WFI,1,,4
morphine sulfate,glycopyrronium bromide (glycopyrrolate),midazolam,WFI,7,,"1, 2, 4"
morphine sulfate,haloperidol ##,hyoscine butylbromide,WFI,7,H,"1, 2, 4"
morphine sulfate,haloperidol ## ,midazolam,WFI,7,H,"1, 2, 4"
morphine sulfate,haloperidol ##,octreotide,WFI,1,H,"1, 2, 4"
morphine sulfate,haloperidol ##,ranitidine,WFI,1,H,4
morphine sulfate,hyoscine butylbromide,levomepromazine,WFI,1,,"1, 4"
morphine sulfate,hyoscine butylbromide,midazolam,WFI,7,,"1, 2, 4"
morphine sulfate,hyoscine butylbromide,octreotide,WFI,1,,4
morphine sulfate,hyoscine butylbromide,ondansetron,WFI,1,,4
morphine sulfate,hyoscine butylbromide,ranitidine,WFI,1,,4
morphine sulfate,ketamine,midazolam,WFI,1,,4
morphine sulfate,levetiracetam,midazolam,WFI,1,,4
morphine sulfate,levomepromazine,midazolam,WFI,7,,"1, 2, 4"
morphine sulfate,levomepromazine,octreotide,WFI,1,,4
morphine sulfate,levomepromazine,ondansetron,WFI,1,,4
morphine sulfate,levomepromazine,ranitidine,WFI,2,,4
morphine sulfate,metoclopramide,midazolam,WFI,7,,"1, 2, 4"
morphine sulfate,metoclopramide,ranitidine,WFI,1,,4
morphine sulfate,midazolam,octreotide,WFI,1,,4
morphine sulfate,midazolam,ranitidine,WFI,3,,4
morphine sulfate,clonazepam #,haloperidol ##,NaCl,1,"C, H","1, 4"
morphine sulfate,clonazepam #,hyoscine butylbromide,NaCl,1,C,"1, 2"
morphine sulfate,clonazepam #,ketamine,NaCl,1,C,1
morphine sulfate,clonazepam #,levomepromazine,NaCl,1,C,"1, 2"
morphine sulfate,clonazepam #,metoclopramide,NaCl,1,C,1
morphine sulfate,glycopyrronium bromide (glycopyrrolate),levetiracetam,NaCl,1,,4
morphine sulfate,glycopyrronium bromide (glycopyrrolate),levomepromazine,NaCl,1,,"1, 2"
morphine sulfate,glycopyrronium bromide (glycopyrrolate),metoclopramide,NaCl,1,,2
morphine sulfate,glycopyrronium bromide (glycopyrrolate),midazolam,NaCl,1,,"1, 2, 4"
morphine sulfate,haloperidol ##,hyoscine butylbromide,NaCl,2,H,"1, 2, 4"
morphine sulfate,haloperidol ##,ketamine,NaCl,1,H,"1, 2"
morphine sulfate,haloperidol ## ,midazolam,NaCl,7,H,"1, 2, 4"
morphine sulfate,haloperidol ##,octreotide,NaCl,1,H,1
morphine sulfate,haloperidol ##,ondansetron,NaCl,1,H,4
morphine sulfate,hyoscine butylbromide,levomepromazine,NaCl,7,,"1, 2, 4"
morphine sulfate,hyoscine butylbromide,midazolam,NaCl,1,,"1, 2"
morphine sulfate,hyoscine butylbromide,octreotide,NaCl,1,,"2, 4"
morphine sulfate,hyoscine butylbromide,ondansetron,NaCl,1,,"2, 4"
morphine sulfate,ketamine,metoclopramide,NaCl,1,,1
morphine sulfate,ketamine,midazolam,NaCl,1,,"1, 4"
morphine sulfate,levetiracetam,levomepromazine,NaCl,1,,4
morphine sulfate,levetiracetam,midazolam,NaCl,7,,4
morphine sulfate,levomepromazine,midazolam,NaCl,1,,"1, 2, 4"
morphine sulfate,levomepromazine,octreotide,NaCl,1,,4
morphine sulfate,levomepromazine,ondansetron,NaCl,7,,2
morphine sulfate,metoclopramide,midazolam,NaCl,1,,"1, 2, 4"
morphine sulfate,metoclopramide,octreotide,NaCl,1,,4
morphine sulfate,metoclopramide,ondansetron,NaCl,1,,2
morphine sulfate,metoclopramide,ranitidine,NaCl,1,,4
morphine sulfate,midazolam,octreotide,NaCl,1,,"1, 2, 4"
morphine sulfate,midazolam,ondansetron,NaCl,1,,4
morphine sulfate,midazolam,ranitidine,NaCl,3,,4
oxyocodone,clonazepam #,glycopyrronium bromide (glycopyrrolate),WFI,1,"C, O",4
oxyocodone,clonazepam #,haloperidol ##,WFI,6,"C, H, O","1, 2, 4"
oxyocodone,clonazepam #,hyoscine butylbromide,WFI,6,"C, O","1, 2, 4"
oxyocodone,clonazepam #,levomepromazine,WFI,1,"C, O","1, 2, 4"
oxyocodone,clonazepam #,metoclopramide,WFI,6,"C, O","1, 2, 4"
oxyocodone,cyclizine,glycopyrronium bromide (glycopyrrolate),WFI,2,O,"1, 2"
oxyocodone,cyclizine,Haloperidol ##,WFI,2,"H, O","1, 2, 4"
oxyocodone,cyclizine,Hyoscine Butylbromide,WFI,3,O,"1, 4"
oxyocodone,cyclizine,levomepromazine,WFI,2,O,2
oxyocodone,cyclizine,midazolam,WFI,2,O,"1, 2, 4"
oxyocodone,cyclizine,octreotide,WFI,2,O,4
oxyocodone,cyclizine,ondanstron,WFI,3,O,4
oxyocodone,cyclizine,ranitidine,WFI,2,O,4
oxyocodone,glycopyrronium bromide (glycopyrrolate),Levomepromazine,WFI,1,O,2
oxyocodone,glycopyrronium bromide (glycopyrrolate),Metoclopramide,WFI,1,O,4
oxyocodone,glycopyrronium bromide (glycopyrrolate),Midazolam,WFI,7,O,"1, 2, 4"
oxyocodone,haloperidol ##,hyoscine butylbromide,WFI,7,"H, O","1, 2, 4"
oxyocodone,haloperidol ##,ketamine,WFI,6,"H, O","1, 2"
oxyocodone,haloperidol ##,midazolam,WFI,7,"H, O","1, 2, 4"
oxyocodone,haloperidol ##,octreotide,WFI,1,"H, O",4
oxyocodone,haloperidol ##,ondanstron,WFI,1,"H, O",4
oxyocodone,haloperidol ##,ranitidine,WFI,1,"H, O",4
oxyocodone,hyoscine butylbromide,Levomepromazine,WFI,7,O,"1, 2, 4"
oxyocodone,hyoscine butylbromide,Metoclopramide,WFI,1,O,4
oxyocodone,hyoscine butylbromide,Midazolam,WFI,7,O,"1, 2, 4"
oxyocodone,hyoscine butylbromide,Octreotide,WFI,7,O,"2, 4"
oxyocodone,hyoscine butylbromide,Ondansetron,WFI,1,O,4
oxyocodone,hyoscine butylbromide,Ranitidine,WFI,1,O,4
oxyocodone,ketamine,Levomepromazine,WFI,7,O,2
oxyocodone,ketamine,Midazolam,WFI,1,O,"1, 4"
oxyocodone,ketorolac,metoclopramide,WFI,1,O,"1, 4"
oxyocodone,ketorolac,ranitidine,WFI,6,O,2
oxyocodone,levetiracetam,metoclopramide,WFI,1,O,5
oxyocodone,levetiracetam,midazolam,WFI,1,O,4
oxyocodone,levomepromazine,Midazolam,WFI,7,O,"1, 2, 4"
oxyocodone,levomepromazine,Octreotide,WFI,6,"O, S","1, 2, 4"
oxyocodone,levomepromazine,Ondansetron,WFI,1,O,"2, 4"
oxyocodone,levomepromazine,Ranitidine,WFI,3,O,4
oxyocodone,metoclopramide,Midazolam,WFI,7,O,"1, 2, 4"
oxyocodone,metoclopramide,Octreotide,WFI,1,O,4
oxyocodone,metoclopramide,Ranitidine,WFI,2,O,4
oxyocodone,midazolam,Octreotide,WFI,1,O,"1, 4"
oxyocodone,midazolam,Ondansetron,WFI,1,O,4
oxyocodone,midazolam,Ranitidine,WFI,3,O,4
oxyocodone,octreotide,ondansetron,WFI,6,O,"1, 2"
oxyocodone,clonazepam #,glycopyrronium bromide (glycopyrrolate),NaCl,1,"C, O","1, 4"
oxyocodone,clonazepam #,haloperidol ##,NaCl,6,"C, H, O","1, 2, 4"
oxyocodone,clonazepam #,hyoscine butylbromide,NaCl,6,"C, O","1, 2"
oxyocodone,clonazepam #,ketamine,NaCl,1,"C, O","1, 4"
oxyocodone,clonazepam #,ketorolac,NaCl,1,"C, O",4
oxyocodone,clonazepam #,levomepromazine,NaCl,1,"C, O","1, 2, 4"
oxyocodone,clonazepam #,metoclopramide,NaCl,6,"C, O","1, 2"
oxyocodone,clonazepam #,octreotide,NaCl,1,"C, O","1, 2, 4"
oxyocodone,clonazepam #,ondanstron,NaCl,1,"C, O",4
oxyocodone,glycopyrronium bromide (glycopyrrolate),Ketamine,NaCl,1,O,"1, 4"
oxyocodone,glycopyrronium bromide (glycopyrrolate),Levomepromazine,NaCl,1,O,2
oxyocodone,glycopyrronium bromide (glycopyrrolate),Metoclopramide,NaCl,1,O,4
oxyocodone,glycopyrronium bromide (glycopyrrolate),Midazolam,NaCl,1,O,2
oxyocodone,haloperidol ##,hyoscine butylbromide,NaCl,2,"H, O","1, 2, 4"
oxyocodone,haloperidol ##,ketamine,NaCl,6,"H, O","1, 2, 4"
